Edit date,Editing user,Minor edit or not,Resulting page size in bytes,Edit comment
"23:44, 15 January 2007","Alonzo","minor","100,571","?Scientific criticism of Paraiso beliefs - link"
"03:21, 14 January 2007","Alfonso","","100,552","?External links - pruning links see talk)"
"18:36, 13 January 2007","Adriano","","102,461","When first proposed, if challenged, an external link requires justification; if unchallenged then its long term presence indicates consensus so that subsequent removal except for eg BLP violation, et"
"16:45, 13 January 2007","DailosTamanca","","100,959","Undid revision xxxxxxxxx by Moisescorral talk); i support Gustava's changes"
"15:35, 13 January 2007","Moisescorral","","102,461","Undid revision xxxxxxxxx by Gustava talk) You propose FIRST, then you DELETE!"
"14:44, 13 January 2007","Gustava","","100,959","Undid revision xxxxxxxxx User:Moisescorral Undo edit-warring under article probation. There is a conjovial discussion going on on talk; feel free to join it"
"12:15, 13 January 2007","Moisescorral","","102,461","Undid revision xxxxxxxxx by Gustava talk) Discuss on the talkpage which you want removed and criteria FIRST!"
"19:26, 11 January 2007","Gustava","","100,959","?External links - paring down to notable sites and/or appropriate WP:EL as discussed on talk - please take any disputes there - DO NOT EDIT WAR"
"23:51, 10 January 2007","Strider","","102,461","?Paraiso and psychiatry - changed caption, \"they call\" --> \"called\" per WP:NPOV"
"20:00, 10 January 2007","Robertocarlosgo","","102,464","?Paraiso and celebrities"
"19:13, 10 January 2007","Robertocarlosgo","","102,464","?Morals and Ethics"
"16:24, 10 January 2007","Edemir","minor","102,458","Reverted good faith edits by Dragon; No need to dampen it; the reference points to a blanket opinion of psychiatry and psychology.. using TW"
"09:11, 10 January 2007","Dragon","","102,477",""
"16:17, 9 January 2007","Selena","","102,458","Undid revision xxxxxxxxx by Selena talk) After rereading the external link policy, undoing own undo."
"16:06, 9 January 2007","Selena","","102,549","Undid revision xxxxxxxxx by Gustava talk) Actually, Open Religion Group is a Paraiso web site and is appropriate."
"15:54, 9 January 2007","Gustava","","102,458","rem off-topic EL to hate site with no stated connection to Paraiso"
"13:41, 9 January 2007","Harrydelfimo","","102,549","?External links"
"16:00, 8 January 2007","Gustava","","102,458","unsourced > sourced"
"18:05, 7 January 2007","R0MAN0","minor","102,179","fixed grammar"
"02:09, 7 January 2007","Abran","","102,179","?See also"
"14:20, 6 January 2007","Agustin","","102,171","?Auditing confidentiality - The statements by supporters need to be grouped together, rather just part of the flow"
"11:20, 6 January 2007","ISMRwiki","minor","102,169","?Auditing confidentiality"
"00:14, 3 January 2007","Cuervohana","minor","102,167","?\"Paraiso Manifesto\" - Added {{main|\"Paraiso Manifesto\"}}"
"23:56, 2 January 2007","VictoriaV","","102,152","WEASEL word, there is no dispute here"
"11:13, 2 January 2007","Rolfobermaier","","102,161","tried to better explain the Paraiso Movement + removed mention of \"Paraiso Manifesto\" in the second paragraph irrelevant and even confusing at this point)"
"23:05, 31 December 2006","DailosTamanca","","102,079","''Louts'' is plural in the reference; Undid revision xxxxxxxxx by VictoriaV talk)"
"22:04, 31 December 2006","VictoriaV","minor","102,094","Reverted 1 edit by DailosTamanca; Sorry, but this is not what the ref says. sounds better, true, but it false.. TW)"
"22:03, 31 December 2006","DailosTamanca","","102,079","?Influences - worded less weaselly"
"21:47, 31 December 2006","VictoriaV","","102,094","?Influences - read the ref, there goes the propaganda once more."
"21:44, 31 December 2006","VictoriaV","","102,073","?Influences - missing fact added"
"00:20, 31 December 2006","Clemente","","102,051","one followed the other"
"06:04, 24 December 2006","Aluino","minor","102,052","minor spelling and style changes"
"21:26, 23 December 2006","MurodeAguas","minor","102,052","fixed typo"
"11:30, 22 December 2006","Amado","minor","102,053","?Morals and Ethics"
"11:27, 22 December 2006","Amado","","102,055","?Organizations - moved pics around"
"15:07, 20 December 2006","Gustava","","102,056","correct duplicate line my bad)"
"14:30, 20 December 2006","Edemir","","102,188","Undid revision xxxxxxxxx by Sevilla talk) - Counselor doesn't need quotes here."
"14:18, 20 December 2006","Gustava","","102,190","undo POV edit http://null by 61.9.148.x"
"22:22, 17 December 2006","Sevilla","","102,089",""
"17:34, 17 December 2006","Agustin","minor","102,087","EL is a main section"
"15:26, 17 December 2006","Israelgarcia86","minor","102,089","BEliefs -> Beliefs and restored bottom links adding a missing ref endtag"
"13:47, 17 December 2006","Metsoma","minor","102,090","consolidated a few more headings"
"13:29, 17 December 2006","Metsoma","minor","102,476","?Organizations - reduced the number of headings"
"13:28, 17 December 2006","Metsoma","minor","102,484","?Organizations - reduced the number of headings"
